locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
slr1615,rfbE,rfbE,0.15802556342895474,0.4582754990814007,0.3495107862839839,0.2719742598507519,0.0327243621498314,0.2445991731215893,-0.04196282133729359,0.018536307359530598,0.22711989430206136,-0.09244077299764707,0.10696423427268877,-0.04925183804784979
slr0983,rfbF,rfbF,-0.20714602377059652,0.3733468822234288,0.03421673381862873,-0.22859124137619627,0.024240374794061728,-0.11827630775913557,-0.2252926177619497,0.10460750438379227,0.12970789546858116,0.022390117152945282,0.16107401193834514,-0.4820774499493151
slr0984,rfbG,rfbG,-0.6402436891350475,0.024461731388519002,-0.9428082282933627,-0.45251315347932625,-0.511460687173505,-0.47666501046008364,-0.2803052966536078,-0.27099633349795443,-0.5806135675628394,-0.5391948400498584,-0.33852669609242475,-0.3838425826631486
sll1457,rfbJ,rfbJ,-0.5905014844576394,-0.46644541437719805,-0.14823850251498327,-0.7897270676008735,-0.13232683805642173,-0.6656362384612098,-0.4733930930581687,-0.4086059861141601,-0.6996398100773086,-0.7321656334981589,-0.34894919402424757,-0.72322457292516
sll1370,rfbM,rfbM,-2.35886092334998,-2.8314010681375934,-3.3239311771339635,-2.4991219475810773,-2.653884941579589,-2.895674755387026,-1.8958614594228598,-2.39805545585491,-2.518432276304062,-3.3382775414987806,-3.3745916193216265,-2.938725133251467
slr0493,rfbM2,rfbM,-0.9716031091002983,-1.326908998829727,-1.2948474619323365,-2.1111971863246053,-0.6846831883988972,-1.2168664724336442,-1.2229289710297626,-0.6291040830040691,-0.8345072466814769,-1.1010453129529185,-1.568283144152413,-1.295963103208713
sll1535,rfbP,rfbP,-0.2861628881308808,-2.048803413849088,-0.4450408369427915,0.9451063209850189,-0.11435138332558753,-2.6853458651194964,-2.4488667965742525,-0.5597297748837097,-0.48810805465520174,-1.4421877037367998,-0.7799223094389938,-2.282159939108409
slr1064,rfbU,rfbU,0.30149075796664987,0.9039029027701735,-0.15672986200128378,0.16029960336714222,0.30490409372196275,0.423017646165956,-0.11940377000351107,0.3708520181254515,0.6025332721273589,0.2805594970813317,-0.13799048236791756,0.10354418813367312
slr0344,rfbW,rfbW,-0.6525110380907362,-0.5992520591886416,-0.6499020781451682,-0.41864002554511864,-0.8380019381746214,-0.734693806635039,-0.6846816727229398,-0.8658194848618462,-0.7774042646902525,-0.13582297133648244,-0.5825364182800947,-0.6841561273193015
sll0380,rfbW2,rfbW,-1.9033666119340904,-1.7374017534791772,-1.7416707287964495,-2.311156616066179,-1.598505514275862,-1.442069926901579,-0.8480446058315154,-1.4738684929742218,-1.9558860035106764,-1.943241113878569,-2.8402769478378347,-1.1596584053761607
slr1118,rffM,rffM,0.19509641877601572,0.2783748248747042,-0.07413122046119093,0.14314487525042544,0.12800505162621803,0.19186861923873333,0.1766172947245913,0.14566722997361556,0.13958850706412482,-0.2570475777837108,0.1801913756881944,0.21818496031500803
